"","PostCode","shortPostcode","Year","Town","District","Country","Population2019","Population2020","Population2021","Population2022"
"1","PR1 9RU","PR1","2022","PRESTON","SOUTH RIBBLE","LANCASHIRE",75578.8125405813,76003.0026999565,76429.5736494668,76858.538751425
"2","BB12 7JT","BB12","2022","BURNLEY","BURNLEY","LANCASHIRE",36562.4877841359,36767.6967176843,36974.0573974338,37181.5762876221
"3","FY7 7JU","FY7","2022","FLEETWOOD","WYRE","LANCASHIRE",27399.9471479704,27553.7308283019,27708.3776278287,27863.892390854
"4","FY8 4RG","FY8","2022","LYTHAM ST ANNES","FYLDE","LANCASHIRE",46534.171390938,46795.3469362421,47057.9883433725,47322.1038395579
"5","BB10 2JS","BB10","2022","BURNLEY","BURNLEY","LANCASHIRE",39540.2606747689,39762.1825191795,39985.3499119043,40209.7698436504
"6","PR3 5DL","PR3","2022","PRESTON","PRESTON","LANCASHIRE",40109.6184569793,40334.7358526332,40561.1167318048,40788.7681858637
"7","PR2 5RU","PR2","2022","PRESTON","PRESTON","LANCASHIRE",83669.1859245323,84138.7837406275,84611.0171997787,85085.9010946746
"8","BB11 3PR","BB11","2022","BURNLEY","BURNLEY","LANCASHIRE",23472.5404053761,23604.2813036623,23736.7616048415,23869.9854588522
"9","PR7 6QB","PR7","2022","CHORLEY","CHORLEY","LANCASHIRE",58575.1906106348,58903.9470253671,59234.5486031983,59567.0057002057
"10","BB4 6NQ","BB4","2022","ROSSENDALE","ROSSENDALE","LANCASHIRE",43732.8043437728,43978.2570655201,44225.087403899,44473.3030908573
"11","PR6 9ES","PR6","2022","CHORLEY","CHORLEY","LANCASHIRE",36644.8809325819,36850.5523021173,37057.3780133007,37265.3645449368
"12","BB7 4AG","BB7","2022","CLITHEROE","RIBBLE VALLEY","LANCASHIRE",33484.3642639853,33672.2970633541,33861.2846456896,34051.3329310182
"13","PR5 5RL","PR5","2022","PRESTON","SOUTH RIBBLE","LANCASHIRE",43523.6525054099,43767.9313511902,44013.5812251601,44260.6098222891
"14","PR25 3PU","PR25","2022","LEYLAND","SOUTH RIBBLE","LANCASHIRE",32514.6602861204,32697.1505696426,32880.665089718,33065.2095949295
"15","BB18 5EH","BB18","2022","BARNOLDSWICK","PENDLE","LANCASHIRE",18146.5627840312,18248.4113458267,18350.8315381653,18453.8265693543
"16","LA1 5EZ","LA1","2022","LANCASTER","LANCASTER","LANCASHIRE",54980.5254290726,55289.1065917069,55599.4196827502,55911.4744227441
"17","BB5 3HE","BB5","2022","ACCRINGTON","HYNDBURN","LANCASHIRE",64543.4122608925,64905.6656413471,65269.9521884264,65636.2833133876
"18","OL13 8BT","OL13","2022","BACUP","ROSSENDALE","LANCASHIRE",15949.4121588036,16038.9290942801,16128.9484483822,16219.4730409617
"19","LA3 1TY","LA3","2022","MORECAMBE","LANCASTER","LANCASHIRE",25823.914103336,25968.8522132502,26114.603796119,26261.1734176031
"20","LA5 8BD","LA5","2022","CARNFORTH","LANCASTER","LANCASHIRE",17340.5887806424,17437.9137698988,17535.7850009035,17634.205539468
